Datum;Kurs
2009-01-14;14,60
2009-01-15;14,22
2009-01-16;14,60
2009-01-19;14,67
2010-08-05;19,26
2010-08-06;18,925
2010-08-09;19,37
2010-08-10;19,15
2010-08-11;19,17
2010-08-12;19,07
2010-08-13;19,08
2010-08-16;19,03
2010-08-17;19,28
2010-08-18;19,12
2010-08-19;18,965
2010-08-20;19,195
2010-08-23;19,16
2010-08-24;19,15
2010-08-25;19,10
2010-08-26;18,90
2010-08-27;18,57
2010-08-30;18,68
2010-08-31;18,58
2010-09-01;18,67
2010-09-02;18,61
2010-09-03;18,935
2010-09-06;19,00
2010-09-07;18,97
2010-09-08;18,88
2010-09-09;18,975
2010-09-10;18,70
2010-09-13;19,05
2010-09-14;19,50
2010-09-15;19,23
2010-09-16;19,16
2010-09-17;19,30
2010-09-20;19,43
2010-09-21;19,245
2010-09-22;18,26
2010-09-23;18,41
2010-09-24;18,34
2010-09-27;18,30
2010-09-28;18,15
2010-09-29;17,98
2010-09-30;18,00
2010-10-01;17,75
2010-10-04;17,41
2010-10-05;17,64
2010-10-06;17,49
2010-10-07;17,735
2010-10-08;17,575
2010-10-11;17,70
2010-10-12;17,84
2010-10-13;17,96
2010-10-14;17,92
2010-10-15;18,10
2010-10-18;18,48
2010-10-19;18,27
2010-10-20;18,08
2010-10-21;18,21
2010-10-22;18,21
2010-10-25;18,10
2010-10-26;18,31
2010-10-27;18,73
2010-10-28;18,76
2010-10-29;19,19
2010-11-01;19,48
2010-11-02;19,415
2010-11-03;19,345
2010-11-04;19,135
2010-11-05;19,03
2010-11-08;19,445
2010-11-09;19,445
2010-11-10;19,64
2010-11-11;19,44
2010-11-12;19,15
2010-11-15;19,31
2010-11-16;19,00
2010-11-17;19,00
2010-11-18;19,10
2010-11-19;18,805
2010-11-22;18,82
2010-11-23;18,71
2010-11-24;18,99
2010-11-25;18,95
2010-11-26;19,115
2010-11-29;19,125
2010-11-30;19,37
2010-12-01;19,78
2010-12-02;20,20
2010-12-03;20,09
2010-12-06;20,25
2010-12-07;20,21
2010-12-08;20,46
2010-12-09;20,52
2010-12-10;20,58
2010-12-13;20,365
2010-12-14;20,55
2010-12-15;20,95
2010-12-16;21,025
2010-12-17;21,25
2010-12-20;21,165
2010-12-21;21,335
2010-12-22;21,65
2010-12-23;21,50
2010-12-27;21,255
2010-12-28;21,445
2010-12-29;21,335
2010-12-30;21,18
2011-01-03;21,025
2011-01-04;21,045
2011-01-05;21,175
2011-01-06;21,59
2011-01-07;21,835
2011-01-10;21,65
2011-01-11;21,675
2011-01-12;21,87
2011-01-13;21,11
2011-01-14;21,085
2011-01-17;21,20
2011-01-18;21,33
2011-01-19;21,185
2011-01-20;21,015
2011-01-21;20,76
2011-01-24;20,78
2011-01-25;20,765
2011-01-26;21,09
2011-01-27;20,855
2011-01-28;20,47
2011-01-31;20,12
2011-02-01;20,175
2011-02-02;20,295
2011-02-03;20,27
2011-02-04;20,425
2011-02-07;20,76
2011-02-08;20,64
2011-02-09;20,55
2011-02-10;20,195
2011-02-11;20,205
2011-02-14;20,165
2011-02-15;20,015
2011-02-16;19,85
2011-02-17;20,075
2011-02-18;19,89
2011-02-21;19,67
2011-02-22;19,61
2011-02-23;19,22
2011-02-24;19,41
2011-02-25;19,525
2011-02-28;19,355
2011-03-01;19,17
2011-03-02;18,945
2011-03-03;18,88
2011-03-04;18,73
2011-03-07;18,43
2011-03-08;18,615
2011-03-09;18,555
2011-03-10;18,555
2011-03-11;18,38
2011-03-14;18,16
2011-03-15;18,105
2011-03-16;17,91
2011-03-17;17,815
2011-03-18;17,66
2011-03-21;17,87
2011-03-22;17,875
2011-03-23;17,92
2011-03-24;18,195
2011-03-25;18,235
2011-03-28;18,19
2011-03-29;18,04
2011-03-30;18,225
2011-03-31;18,06
2011-04-01;17,965
2011-04-04;18,04
2011-04-05;18,345
2011-04-06;18,21
2011-04-07;18,23
2011-04-08;18,06
2011-04-11;18,06
2011-04-12;17,755
2011-04-13;17,80
2011-04-14;17,475
2011-04-15;17,435
2011-04-18;17,505
2011-04-19;17,44
2011-04-20;17,88
2011-04-21;17,515
2011-04-26;17,985
2011-04-27;17,92
2011-04-28;17,895
2011-04-29;17,25
2011-05-02;17,335
2011-05-03;17,20
2011-05-04;17,545
2011-05-05;17,74
2011-05-06;18,065
2011-05-09;18,00
2011-05-10;17,76
2011-05-11;17,865
2011-05-12;17,635
2011-05-13;17,70
2011-05-16;17,375
2011-05-17;17,235
2011-05-18;17,205
2011-05-19;17,21
2011-05-20;17,365
2011-05-23;17,225
2011-05-24;17,095
2011-05-25;17,185
2011-05-26;17,605
2011-05-27;17,345
2011-05-30;17,325
2011-05-31;17,20
2011-06-01;16,95
