Datum;DE0007037129;DE0007164600;US5949181045;US4581401001;DE0005557508;DE000BASF111;DE000ENAG999;AU000000CUV3;DE000A0JK2A8;DE000A2YN900;^GDAXI;^MDAXI;^GSPC;WDI.DE;9BT.SG;VNRX;IE00B9KNR336;GB00B03MM408;GAZ.BE;CA3499151080
2009-01-14;59,91;25,985;14,60;;10,23;;;;;;;;;;;;;;;
2009-01-15;59,452;26,03;14,22;;10,045;;;;;;;;;;;;;;;
2009-01-16;59,273;26,915;14,60;;9,99;23,76;;;;;;;;;;;;;;
2009-01-19;60,13;26,60;14,67;;10,235;22,68;;;;;;;;;;;;;;
2009-01-20;60,339;25,94;;;10,405;22,85;;;;;;;;;;;;;;
2009-01-21;59,781;26,69;;;10,32;23,01;;;;;;;;;;;;;;
2009-01-22;59,153;27,015;;;10,125;22,78;;;;;;;;;;;;;;
2009-01-23;59,701;25,91;;;10,20;21,86;;;;;;;;;;;;;;
2009-01-26;61,057;26,165;;;10,185;22,41;;;;;;;;;;;;;;
2009-01-27;61,186;26,215;;;10,03;22,16;;;;;;;;;;;;;;
2009-01-28;62,123;27,60;;;10,085;22,86;;;;;;;;;;;;;;
2009-01-29;61,106;27,785;;;9,71;23,63;;;;;;;;;;;;;;
2009-01-30;60,668;27,85;;;9,47;22,72;;;;;;;;;;;;;;
2009-02-02;59,901;27,555;;;9,515;22,26;;;;;;;;;;;;;;
2009-02-03;61,595;28,055;;;10,03;22,57;;;;;;;;;;;;;;
2009-02-04;62,293;28,51;;;10,25;24,30;;;;;;;;;;;;;;
2009-02-05;62,542;29,25;;;10,085;24,09;;;;;;;;;;;;;;
2009-02-06;62,921;29,51;;;10,075;26,10;;;;;;;;;;;;;;
2009-02-09;61,834;29,64;;;9,745;26,29;;;;;;;;;;;;;;
2009-02-10;61,067;28,875;;;9,55;25,02;;;;;;;;;;;;;;
2009-02-11;60,897;29,00;;;9,665;24,96;;;;;;;;;;;;;;
2009-02-12;58,266;28,45;;;9,61;24,05;;;;;;;;;;;;;;
2009-02-13;56,811;28,575;;;9,65;24,58;;0,16;;;;;;;;;;;;
2009-02-16;55,555;28,595;;;9,70;24,40;;;;;;;;;;;;;;
2009-02-17;55,276;28,24;;;9,355;23,23;;0,12;;;;;;;;;;;;
2009-02-18;54,847;28,06;;;9,64;23,20;;0,12;;;;;;;;;;;;
2009-02-19;56,492;27,00;;;9,555;22,93;;0,16;;;;;;;;;;;;
2009-02-20;54,03;26,205;;;9,41;21,74;;0,16;;;;;;;;;;;;
2009-02-23;53,392;26,28;;;9,325;21,45;;0,15;;;;;;;;;;;;
2009-02-24;53,701;26,32;;;9,19;21,72;;;;;;;;;;;;;;
2009-02-25;52,455;26,185;;;9,065;21,07;;;;;;;;;;;;;;
2009-02-26;51,14;25,90;;;9,48;22,62;;;;;;;;;;;;;;
2009-02-27;49,804;25,515;;;9,565;21,96;;0,15;;;;;;;;;;;;
2009-03-02;46,366;25,54;;;9,375;20,99;;0,14;;;;;;;;;;;;
2009-03-03;46,605;25,63;;;9,265;20,71;;0,12;;;;;;;;;;;;
2009-03-04;48,748;26,43;;;9,72;22,25;;0,15;;;;;;;;;;;;
2009-03-05;48,638;25,71;;;9,24;20,80;;0,14;;;;;;;;;;;;
2009-03-06;48,309;25,005;;;9,265;20,74;;0,14;;;;;;;;;;;;
2009-03-09;48,16;25,59;;;9,16;20,77;;0,12;;;;;;;;;;;;
2009-03-10;49,077;26,87;;;9,42;22,72;;0,15;;;;;;;;;;;;
2009-03-11;48,718;26,64;;;9,28;23,74;;0,15;;;;;;;;;;;;
2009-03-12;49,565;26,18;;;9,415;24,33;;0,12;;;;;;;;;;;;
2009-03-13;49,934;25,725;;;9,455;24,26;;0,15;;;;;;;;;;;;
2009-03-16;51,259;26,475;;;9,67;24,31;;;;;;;;;;;;;;
2009-03-17;50,303;26,33;;;9,585;23,96;;;;;;;;;;;;;;
2009-03-18;50,402;26,87;;;9,605;23,55;;;;;;;;;;;;;;
2009-03-19;51,469;27,63;;;9,36;23,65;;0,15;;;;;;;;;;;;
2009-03-20;52,435;27,43;;;9,14;23,95;;0,16;;;;;;;;;;;;
2009-03-23;52,954;27,22;;;9,30;24,56;;0,13;;;;;;;;;;;;
2009-03-24;53,462;27,59;;;9,415;24,79;;0,16;;;;;;;;;;;;
2009-03-25;54,748;27,49;;;9,60;24,33;;0,13;;;;;;;;;;;;
2009-03-26;55,037;27,65;;;9,565;24,26;;;;;;;;;;;;;;
2009-03-27;53,771;26,745;;;9,26;23,79;;;;;;;;;;;;;;
2009-03-30;51,847;25,99;;;9,14;22,24;;;;;;;;;;;;;;
2009-03-31;52,635;26,68;;;9,35;22,79;;;;;;;;;;;;;;
2009-04-01;53,073;27,00;;;9,555;23,08;;0,13;;;;;;;;;;;;
2009-04-02;54,508;27,705;;;9,71;24,83;;0,18;;;;;;;;;;;;
2009-04-03;52,256;27,60;;;9,43;25,96;;0,18;;;;;;;;;;;;
2009-04-06;53,761;27,645;;;9,25;25,69;;0,13;;;;;;;;;;;;
2009-04-07;54,449;27,77;;;9,455;25,21;;0,13;;;;;;;;;;;;
2009-04-08;55,326;28,42;;;9,53;25,24;;0,17;;;;;;;;;;;;
2009-04-09;56,093;29,005;;;9,485;26,89;;0,14;;;;;;;;;;;;
2009-04-14;56,671;29,25;;;9,41;27,72;;;;;;;;;;;;;;
2009-04-15;56,422;29,39;;;9,52;27,23;;;;;;;;;;;;;;
2009-04-16;57,15;29,325;;;9,61;27,07;;;;;;;;;;;;;;
2009-04-17;58,186;29,44;;;9,785;27,14;;0,14;;;;;;;;;;;;
2009-04-20;56,831;29,21;;;9,71;26,06;;0,23;;;;;;;;;;;;
2009-04-21;57,678;29,225;;;9,01;25,86;;;;;;;;;;;;;;
2009-04-22;57,409;29,86;;;8,735;26,50;;0,23;;;;;;;;;;;;
2009-04-23;52,236;30,455;;;8,63;25,79;;0,26;;;;;;;;;;;;
2009-04-24;53,123;31,115;;;8,985;27,13;;0,26;;;;;;;;;;;;
2009-04-27;52,366;30,95;;;9,14;27,31;;0,24;;;;;;;;;;;;
2009-04-28;52,764;30,14;;;9,09;26,82;;0,23;;;;;;;;;;;;
2009-04-29;53,821;29,50;;;9,11;26,61;;;;;;;;;;;;;;
2009-04-30;54,409;29,025;;;9,14;28,57;;0,23;;;;;;;;;;;;
2009-05-01;;;;;;;;0,21;;;;;;;;;;;;
2009-05-04;55,814;29,34;;;8,44;29,05;;0,20;;;;;;;;;;;;
2009-05-05;56,213;28,23;;;8,375;29,00;;0,20;;;;;;;;;;;;
2009-05-06;56,602;28,45;;;8,30;29,22;;0,28;;;;;;;;;;;;
2009-05-07;56,322;28,05;;;8,145;28,83;;0,24;;;;;;;;;;;;
2009-05-08;58,495;28,635;;;8,135;29,52;;;;;;;;;;;;;;
2009-05-11;58,595;29,45;;;8,15;29,20;;;;;;;;;;;;;;
2009-05-12;58,625;29,325;;;8,32;29,41;;0,24;;;;;;;;;;;;
2009-05-13;58,256;29,86;;;8,395;28,13;;0,25;;;;;;;;;;;;
2009-05-14;58,106;29,855;;;8,42;27,40;;;;;;;;;;;;;;
2009-05-15;58,694;29,575;;;8,285;27,90;;;;;;;;;;;;;;
2009-05-18;58,545;30,70;;;8,45;28,73;;0,25;;;;;;;;;;;;
2009-05-19;59,073;30,885;;;8,38;29,10;;0,32;;;;;;;;;;;;
2009-05-20;59,93;30,37;;;8,335;30,69;;;;;;;;;;;;;;
2009-05-21;58,724;29,77;;;8,16;29,69;;;;;;;;;;;;;;
2009-05-22;58,904;29,90;;;8,21;29,93;;;;;;;;;;;;;;
2009-05-25;59,313;30,13;;;8,23;29,97;;;;;;;;;;;;;;
2009-05-26;59,791;30,375;;;8,27;30,48;;0,32;;;;;;;;;;;;
2009-05-27;59,831;30,225;;;8,175;30,43;;0,28;;;;;;;;;;;;
2009-05-28;59,671;30,215;;;8,065;29,94;;0,31;;;;;;;;;;;;
2009-05-29;58,416;30,35;;;8,11;29,75;;0,31;;;;;;;;;;;;
2009-06-01;59,841;30,795;;;8,25;31,89;;0,30;;;;;;;;;;;;
2009-06-02;60,249;31,245;;;8,155;31,90;;0,28;;;;;;;;;;;;
2009-06-03;59,073;31,005;;;8,10;31,78;;0,29;;;;;;;;;;;;
2009-06-04;58,704;30,285;;;8,045;31,30;;;;;;;;;;;;;;
2009-06-05;58,326;30,30;;;7,96;31,34;;0,29;;;;;;;;;;;;
2009-06-08;57,708;30,37;;;7,955;30,90;;0,26;;;;;;;;;;;;
2009-06-09;58,515;30,43;;;7,97;30,79;;;;;;;;;;;;;;
2009-06-10;58,296;30,02;;;7,925;31,04;;;;;;;;;;;;;;
2009-06-11;58,904;29,90;;;7,98;31,45;;;;;;;;;;;;;;
2009-06-12;58,894;29,48;;;8,075;31,59;;;;;;;;;;;;;;
2009-06-15;57,309;29,045;;;7,935;30,82;;;;;;;;;;;;;;
2009-06-16;57,08;29,065;;;7,965;30,44;;0,26;;;;;;;;;;;;
2009-06-17;56,512;28,86;;;8,13;29,28;;0,27;;;;;;;;;;;;
2009-06-18;56,482;28,835;;;8,365;28,98;;;;;;;;;;;;;;
2009-06-19;56,801;28,87;;;8,39;29,03;;0,27;;;;;;;;;;;;
2009-06-22;55,744;28,32;;;8,27;28,08;;0,25;;;;;;;;;;;;
2009-06-23;56,243;28,05;;;8,24;28,00;;;;;;;;;;;;;;
2009-06-24;56,332;28,94;;;8,165;28,88;;;;;;;;;;;;;;
2009-06-25;56,213;28,60;;;8,235;28,17;;;;;;;;;;;;;;
2009-06-26;55,495;28,185;;;8,23;28,02;;;;;;;;;;;;;;
2009-06-29;56,741;28,78;;;8,435;29,12;;;2,933;;;;;;;;;;;
2009-06-30;55,904;28,67;;;8,40;28,33;;;2,933;;;;;;;;;;;
2009-07-01;56,98;28,60;;;8,58;29,11;;0,25;2,887;;;;;;;;;;;
2009-07-02;55,635;28,075;;;8,39;27,61;;0,22;2,847;;;;;;;;;;;
2009-07-03;55,087;27,84;;;8,315;27,66;;;2,90;;;;;;;;;;;
2009-07-06;54,339;27,75;;;8,34;27,60;;0,27;2,85;;;;;;;;;;;
2009-07-07;53,243;27,32;;;;27,55;;;2,743;;;;;;;;;;;
2009-07-08;52,904;27,945;;;8,10;27,50;;0,27;2,72;;;;;;;;;;;
2009-07-09;52,914;28,71;;;8,07;27,75;;0,24;2,75;;;;;;;;;;;
2009-07-10;52,635;28,56;;;7,975;27,66;;0,20;2,753;;;;;;;;;;;
2009-07-13;53,771;29,275;;;8,055;29,04;;;2,767;;;;;;;;;;;
2009-07-14;54,03;29,055;;;8,10;29,69;;;2,717;;;;;;;;;;;
2009-07-15;55,635;29,83;;;8,165;31,06;;0,20;2,75;;;;;;;;;;;
2009-07-16;56,004;29,89;;;8,21;31,50;;0,24;2,67;;;;;;;;;;;
2009-07-17;56,292;30,235;;;8,30;31,71;;;2,667;;;;;;;;;;;
2009-07-20;57,349;30,44;;;8,25;31,99;;0,24;2,663;;;;;;;;;;;
2009-07-21;57,429;30,42;;;8,30;32,73;;0,22;2,667;;;;;;;;;;;
2009-07-22;58,047;31,08;;;8,385;33,25;;0,24;2,663;;;;;;;;;;;
2009-07-23;58,525;31,595;;;8,555;34,40;;;2,61;;;;;;;;;;;
2009-07-24;57,718;31,505;;;8,495;;;;2,50;;;;;;;;;;;
2009-07-27;57,897;31,55;;;8,525;33,96;;;2,513;;;;;;;;;;;
2009-07-28;57,608;31,20;;;8,585;33,83;;;2,50;;;;;;;;;;;
2009-07-29;58,186;31,80;;;8,795;34,81;;;2,503;;;;;;;;;;;
2009-07-30;59,193;32,92;;;9,095;34,20;;;2,507;;;;;;;;;;;
2009-07-31;59,053;33,00;;;8,99;35,16;;;2,52;;;;;;;;;;;
2009-08-03;59,372;33,065;;;9,01;36,15;;0,24;2,497;;;;;;;;;;;
2009-08-04;59,522;33,50;;;8,99;35,68;;0,25;2,45;;;;;;;;;;;
2009-08-05;58,106;33,15;;;8,845;35,63;;;2,383;;;;;;;;;;;
2009-08-06;57,957;33,29;;;8,775;35,09;;;2,387;;;;;;;;;;;
2009-08-07;58,525;33,45;;;9,11;35,25;;0,25;2,423;;;;;;;;;;;
2009-08-10;58,465;33,42;;;9,12;35,27;;0,24;2,417;;;;;;;;;;;
2009-08-11;57,628;33,07;;;9,04;34,57;;0,27;2,367;;;;;;;;;;;
2009-08-12;59,313;33,02;;;9,15;34,57;;;2,367;;;;;;;;;;;
2009-08-13;59,492;33,14;;;9,065;36,01;;;2,333;;;;;;;;;;;
2009-08-14;58,964;32,94;;;8,915;34,77;;;2,373;;;;;;;;;;;
2009-08-17;57,887;32,67;;;8,80;33,96;;;2,31;;;;;;;;;;;
2009-08-18;58,694;32,645;;;8,875;34,46;;;2,327;;;;;;;;;;;
2009-08-19;59,582;32,58;;;8,92;34,49;;0,27;2,297;;;;;;;;;;;
2009-08-20;61,017;32,88;;;9,03;35,41;;0,29;;;;;;;;;;;;
2009-08-21;63,798;33,20;;;9,14;36,20;;0,29;2,377;;;;;;;;;;;
2009-08-24;64,326;33,415;;;9,20;36,78;;0,28;2,437;;;;;;;;;;;
2009-08-25;64,774;33,525;;;9,41;38,13;;0,28;2,727;;;;;;;;;;;
2009-08-26;64,236;33,44;;;9,385;36,86;;0,24;2,80;;;;;;;;;;;
2009-08-27;64,904;33,865;;;9,36;36,31;;0,25;2,723;;;;;;;;;;;
2009-08-28;64,854;34,02;;;9,385;36,96;;;2,74;;;;;;;;;;;
2009-08-31;64,386;34,06;;;9,275;36,39;;0,25;2,667;;;;;;;;;;;
2009-09-01;62,691;33,87;;;9,125;36,13;;0,30;2,71;;;;;;;;;;;
2009-09-02;62,293;34,225;;;9,10;35,90;;0,29;2,653;;;;;;;;;;;
2009-09-03;61,794;33,84;;;9,13;34,58;;;2,70;;;;;;;;;;;
2009-09-04;62,342;33,92;;;9,40;34,96;;;2,893;;;;;;;;;;;
2009-09-07;62,392;33,92;;;9,45;35,97;;;3,177;;;;;;;;;;;
2009-09-08;62,193;33,80;;;9,63;36,47;;;3,167;;;;;;;;;;;
2009-09-09;62,631;34,19;;;9,665;36,49;;;3,15;;;;;;;;;;;
2009-09-10;62,362;35,10;;;9,54;35,91;;;3,167;;;;;;;;;;;
2009-09-11;62,332;35,255;;;9,535;36,18;;0,29;3,113;;;;;;;;;;;
2009-09-14;62,133;35,245;;;9,425;35,81;;0,27;3,053;;;;;;;;;;;
2009-09-15;62,093;35,09;;;9,53;35,94;;0,29;2,92;;;;;;;;;;;
2009-09-16;62,432;34,61;;;9,475;36,57;;0,25;3,023;;;;;;;;;;;
2009-09-17;63,319;34,105;;;9,45;36,55;;0,25;3,003;;;;;;;;;;;
2009-09-18;62,96;34,14;;;9,31;36,98;;0,29;2,937;;;;;;;;;;;
2009-09-21;62,452;34,395;;;9,30;36,41;;0,29;2,903;;;;;;;;;;;
2009-09-22;62,891;34,50;;;9,325;36,80;;0,30;2,933;;;;;;;;;;;
2009-09-23;62,532;34,15;;;9,25;36,45;;0,30;2,90;;;;;;;;;;;
2009-09-24;62,103;33,655;;;9,21;35,75;;0,28;2,967;;;;;;;;;;;
2009-09-25;61,984;33,50;;;9,31;35,26;;0,28;2,947;;;;;;;;;;;
2009-09-28;64,585;33,20;;;9,495;36,35;;0,26;2,883;;;;;;;;;;;
2009-09-29;63,379;33,17;;;9,45;36,07;;0,26;2,957;;;;;;;;;;;
2009-09-30;63,259;33,28;;;9,33;36,21;;0,28;3,027;;;;;;;;;;;
2009-10-01;62,442;33,355;;;9,165;34,73;;0,26;2,933;;;;;;;;;;;
2009-10-02;61,994;33,07;;;9,105;34,15;;0,26;2,993;;;;;;;;;;;
2009-10-05;62,263;33,085;;;9,255;34,69;;0,34;2,983;;5.508,85;7.069,43;;;;;;;;
2009-10-06;63,10;33,115;;;9,42;36,12;;0,35;2,957;;5.657,64;7.300,19;1.054,72;;;;;;;
2009-10-07;63,02;33,395;;;9,375;36,24;;0,35;2,94;;5.640,75;7.342,46;1.057,58;;;;;;;
2009-10-08;63,13;34,325;;;9,44;37,47;;0,28;2,96;;5.716,54;7.473,36;1.065,48;;;;;;;
2009-10-09;62,871;34,48;;;9,32;37,49;;;2,96;;5.711,88;7.534,18;1.071,49;;;;;;;
2009-10-12;62,901;34,76;;;9,42;38,35;;;2,95;;5.783,23;7.609,55;1.076,19;;;;;;;
2009-10-13;62,163;34,585;;;9,305;37,82;;0,28;2,99;;5.714,31;7.485,23;1.073,19;;;;;;;
2009-10-14;62,014;35,075;;;9,48;40,61;;0,32;3,25;;5.854,14;7.630,26;1.092,02;;;;;;;
2009-10-15;60,798;34,795;;;9,55;40,11;;;3,287;;5.830,77;7.596,03;1.096,56;;;;;;;
2009-10-16;60,638;34,54;;;9,40;39,40;;0,32;3,267;;5.743,39;7.477,95;1.087,68;;;;;;;
2009-10-19;60,927;35,045;;;9,46;40,82;;0,33;3,397;;5.852,56;7.588,24;1.097,91;;;;;;;
2009-10-20;61,645;34,75;;;9,45;40,02;;;3,297;;5.811,77;7.509,22;1.091,06;;;;;;;
2009-10-21;62,053;34,97;;;9,635;40,40;;;3,267;;5.833,49;7.460,38;1.081,40;;;;;;;
2009-10-22;61,744;34,39;;;9,685;39,50;;0,33;3,44;;5.762,93;7.305,48;1.092,91;;;;;;;
2009-10-23;61,117;34,44;;;9,565;39,16;;0,32;3,333;;5.740,25;7.348,13;1.079,60;;;;;;;
2009-10-26;61,027;34,10;;;9,495;38,29;;0,33;3,30;;5.642,16;7.136,05;1.066,95;;;;;;;
2009-10-27;60,778;34,41;;;9,49;38,24;;0,32;3,10;;5.635,02;7.003,41;1.063,41;;;;;;;
2009-10-28;61,136;31,75;;;9,595;37,00;;;3,233;;5.496,27;6.703,10;1.042,63;;;;;;;
2009-10-29;60,668;31,575;;;9,575;37,42;;;3,167;;5.587,45;6.892,27;1.066,11;;;;;;;
2009-10-30;59,502;30,80;;;9,29;36,50;;0,32;3,167;;5.414,96;6.732,07;1.036,19;;;;;;;
2009-11-02;59,631;31,295;;;9,325;36,44;;0,27;3,07;;5.430,82;6.767,13;1.042,88;;;;;;;
2009-11-03;58,834;31,565;;;9,185;36,24;;0,30;3,05;;5.353,35;6.679,54;1.045,41;;;;;;;
2009-11-04;59,103;31,745;;;9,285;36,96;;;3,00;;5.444,23;6.950,96;1.046,50;;;;;;;
2009-11-05;58,924;31,745;;;9,50;37,87;;0,30;2,933;;5.480,92;7.017,46;1.066,63;;;;;;;
2009-11-06;59,103;31,445;;;9,445;37,55;;0,29;2,90;;5.488,25;7.084,74;1.069,30;;;;;;;
2009-11-09;60,289;31,50;;;9,59;38,50;;;3,00;;5.619,72;7.227,05;1.093,08;;;;;;;
2009-11-10;60,568;31,415;;;9,59;38,72;;;3,16;;5.613,20;7.186,45;1.093,01;;;;;;;
2009-11-11;61,196;32,01;;;9,595;39,36;;;3,163;;5.668,35;7.282,47;1.098,51;;;;;;;
2009-11-12;61,326;32,05;;;9,66;39,47;;;3,11;;5.663,96;7.297,53;1.087,24;;;;;;;
2009-11-13;61,575;32,295;;;9,68;39,76;;0,29;3,20;;5.686,83;7.311,23;1.093,48;;;;;;;
2009-11-16;62,352;32,845;;;9,77;41,02;;0,23;3,25;;5.804,82;7.439,81;1.109,30;;;;;;;
2009-11-17;62,133;32,91;;;9,74;40,55;;0,23;3,723;;5.778,43;7.360,68;1.110,32;;;;;;;
2009-11-18;62,821;32,80;;;9,68;40,29;;0,27;3,75;;5.787,61;7.381,67;1.109,80;;;;;;;
2009-11-19;62,223;32,22;;;9,55;39,89;;;3,667;;5.702,18;7.205,08;1.094,90;;;;;;;
2009-11-20;61,914;32,07;;;9,50;39,87;;0,27;3,63;;5.663,15;7.149,85;1.091,38;;;;;;;
2009-11-23;62,96;32,46;;;9,695;41,48;;0,30;3,60;;5.801,48;7.370,57;1.106,24;;;;;;;
2009-11-24;62,811;32,23;;;9,67;41,26;;;3,463;;5.769,31;7.324,15;1.105,65;;;;;;;
2009-11-25;62,841;32,25;;;9,875;41,90;;;3,337;;5.803,02;7.334,37;1.110,63;;;;;;;
2009-11-26;61,296;31,64;;;9,76;40,25;;;3,323;;5.614,17;7.061,77;;;;;;;;
2009-11-27;61,884;32,09;;;9,85;40,59;;;3,29;;5.685,61;7.188,02;1.091,49;;;;;;;
2009-11-30;60,927;31,82;;;9,82;40,16;;;3,35;;5.625,95;7.099,99;1.095,63;;;;;;;
2009-12-01;62,372;32,06;;;10,20;40,97;;;3,26;;5.776,61;7.328,55;1.108,86;;;;;;;
2009-12-02;62,801;31,02;;;10,345;41,60;;;3,213;;5.781,68;7.326,73;1.109,24;;;;;;;
2009-12-03;63,09;31,04;;;10,355;41,40;;;3,217;;5.770,35;7.338,29;1.099,92;;;;;;;
2009-12-04;63,788;31,105;;;10,57;41,89;;0,30;3,313;;5.817,65;7.418,40;1.105,98;;;;;;;
2009-12-07;63,339;30,735;;;10,45;42,53;;0,26;3,267;;5.784,75;7.436,42;1.103,25;;;;;;;
2009-12-08;62,91;30,415;;;10,12;41,22;;0,24;;;5.688,58;7.289,66;1.091,94;;;;;;;
2009-12-09;63,03;30,09;;;10,11;41,63;;0,29;3,267;;5.647,84;7.228,36;1.095,95;;;;;;;
2009-12-10;63,369;30,255;;;10,18;42,25;;0,30;3,287;;5.709,02;7.227,42;1.102,35;;;;;;;
2009-12-11;64,176;30,68;;;10,165;43,04;;0,26;3,287;;5.756,29;7.301,46;1.106,41;;;;;;;
2009-12-14;64,665;31,09;;;10,265;42,97;;0,29;3,317;;5.802,26;7.349,95;1.114,11;;;;;;;
2009-12-15;65,083;30,88;;;10,28;43,07;;0,30;3,287;;5.811,34;7.365,35;1.107,93;;;;;;;
2009-12-16;65,781;31,645;;;10,29;43,75;;0,28;3,283;;5.903,43;7.428,92;1.109,18;;;;;;;
2009-12-17;65,153;31,555;;;10,095;43,18;;0,28;3,233;;5.844,44;7.404,38;1.096,08;;;;;;;
2009-12-18;65,243;32,205;;;10,02;42,99;;0,26;3,023;;5.831,21;7.393,75;1.102,47;;;;;;;
2009-12-21;66,529;32,90;;;10,285;43,50;;0,28;3,08;;5.930,53;7.454,26;1.114,05;;;;;;;
2009-12-22;67,246;32,75;;;10,415;43,50;;0,25;3,067;;5.945,69;7.484,31;1.118,02;;;;;;;
2009-12-23;67,625;32,72;;;10,42;43,87;;0,27;3,153;;5.957,44;7.472,43;1.120,59;;;;;;;
2009-12-24;;;;;;;;0,27;;;;;1.126,48;;;;;;;
2009-12-28;68,013;32,93;;;10,445;43,95;;0,23;3,26;;6.002,92;7.483,04;1.127,78;;;;;;;
2009-12-29;68,352;32,88;;;10,415;43,82;;0,23;3,29;;6.011,55;7.513,59;1.126,20;;;;;;;
2009-12-30;67,734;33,00;;;10,29;43,46;;0,27;3,383;;5.957,43;7.507,04;1.126,42;;;;;;;
2009-12-31;;;;;;;;0,27;;;;;1.115,10;;;;;;;
2010-01-04;68,731;32,94;;;10,60;44,85;;0,23;3,433;;6.048,30;7.676,65;1.132,99;;;;;;;
2010-01-05;68,293;32,645;;;10,51;44,17;;0,29;3,532;;6.031,86;7.745,43;1.136,52;;;;;;;
2010-01-06;68,163;33,225;;;10,25;44,45;;0,29;3,433;;6.034,33;7.784,41;1.137,14;;;;;;;
2010-01-07;67,874;34,105;;;10,055;44,155;;0,28;3,463;;6.019,36;7.839,07;1.141,69;;;;;20,70;;
2010-01-08;67,774;34,345;;;10,11;44,02;;;3,477;;6.037,61;7.903,44;1.144,98;;;;;20,51;;
2010-01-11;68,572;34,675;;;10,18;43,53;;0,28;3,40;;6.040,50;7.919,97;1.146,98;;;;;20,70;;
2010-01-12;67,874;34,34;;;10,10;41,98;;0,23;3,40;;5.943,00;7.781,52;1.136,22;;;;;20,40;;
2010-01-13;67,725;34,695;;;10,16;42,375;;;3,417;;5.963,14;7.856,01;1.145,68;;;;;20,13;;
2010-01-14;68,442;35,35;;;10,17;42,46;;;3,487;;5.988,88;7.945,23;1.148,46;;;;;20,23;;
2010-01-15;67,894;34,10;;;10,035;41,565;;;3,457;;5.875,97;7.846,54;1.136,03;;;;;20,51;;
2010-01-18;67,545;33,935;;;9,929;42,32;;;3,383;;5.918,55;7.899,21;;;;;;20,525;;
2010-01-19;68,153;34,375;;;10,095;42,86;;;3,387;;5.976,48;7.889,91;1.150,23;;;;;20,60;;
2010-01-20;66,997;34,00;;;9,971;41,455;;;3,387;;5.851,53;7.750,30;1.138,04;;;;;20,65;;
2010-01-21;67,127;33,39;;;9,876;40,905;;;3,45;;5.746,97;7.647,54;1.116,48;;;;;20,62;;
2010-01-22;66,847;33,095;;;9,809;40,465;;;3,233;;5.695,32;7.539,33;1.091,76;;;;;20,00;;
2010-01-25;65,801;32,645;;;9,72;40,02;;0,23;;;5.631,37;7.548,98;1.096,78;;;;;19,77;;
2010-01-26;65,761;32,72;;;9,72;39,915;;0,24;3,193;;5.668,93;7.557,00;1.092,17;;;;;19,90;;
2010-01-27;65,432;32,75;;;9,66;40,345;;0,24;3,19;;5.643,20;7.479,51;1.097,50;;;;;19,68;;
2010-01-28;63,658;32,18;;;9,407;40,025;;0,16;3,105;;5.540,33;7.406,04;1.084,53;;;;;19,60;;
2010-01-29;64,027;33,08;;;9,357;41,225;;0,22;3,17;;5.608,79;7.505,32;1.073,87;;;;;19,50;;
2010-02-01;64,764;33,585;;;9,41;41,73;;0,22;3,17;;5.654,48;7.578,59;1.089,19;;;;;19,53;;
2010-02-02;65,532;33,795;;;9,44;42,00;;0,19;3,073;;5.709,66;7.710,94;1.103,32;;;;;19,35;;
2010-02-03;64,575;34,05;;;9,342;42,13;;;3,138;;5.672,09;7.675,68;1.097,28;;;;;19,78;;
2010-02-04;63,22;33,795;;;9,24;40,255;;;3,13;;5.533,24;7.458,38;1.063,11;;;;;19,44;;
2010-02-05;62,442;33,385;;;9,211;39,43;;0,19;3,123;;5.434,34;7.243,13;1.066,19;;;;;18,94;;
2010-02-08;63,369;32,56;;;9,372;40,02;;0,20;3,176;;5.484,85;7.246,15;1.056,74;;;;;18,88;;
2010-02-09;63,19;31,755;;;9,342;40,015;;;3,286;;5.498,26;7.289,16;1.070,52;;;;;;;
2010-02-10;63,867;31,735;;;9,448;40,43;;0,20;3,306;;5.536,37;7.353,23;1.068,13;;;;;;;
2010-02-11;63,289;31,115;;;9,348;40,265;;0,24;3,36;;5.503,93;7.344,66;1.078,47;;;;;;;
2010-02-12;63,847;31,31;;;9,42;40,20;;;3,418;;5.500,39;7.293,14;1.075,51;;;;;19,585;;
2010-02-15;63,718;31,40;;;9,43;40,205;;;3,48;;5.511,10;7.299,91;;;;;;19,51;;
2010-02-16;64,256;32,155;;;9,507;40,84;;;3,578;;5.592,12;7.386,49;1.094,87;;;;;19,46;;
2010-02-17;64,346;32,37;;;9,55;41,55;;;3,732;;5.648,34;7.531,00;1.099,51;;;;;20,12;;
2010-02-18;64,834;32,395;;;9,657;42,005;;;4,00;;5.680,41;7.599,46;1.106,75;;;;;;;
2010-02-19;64,535;32,905;;;9,752;42,06;;0,24;4,198;;5.722,05;7.597,39;1.109,17;;;;;;;
2010-02-22;64,415;32,52;;;9,675;41,80;;0,23;4,10;;5.688,44;7.570,64;1.108,01;;;;;19,65;;
2010-02-23;63,289;32,315;;;9,502;41,265;;;4,017;;5.604,07;7.480,13;1.094,60;;;;;;;
2010-02-24;63,10;32,70;;;9,52;40,655;;0,23;3,907;;5.615,51;7.396,95;1.105,24;;;;;;;
2010-02-25;61,485;32,305;;;9,40;41,115;;0,24;3,653;;5.532,33;7.246,82;1.102,94;;;;;;;
2010-02-26;62,073;32,76;;;9,45;41,24;;;3,862;;5.598,46;7.393,26;1.104,49;;;;;;;
